Ocupacion,Years_Trabajados,Tipo_Trabajo,Ingresos_Mensuales,Tipo_Contrato,Idioma_Casa,Lee_Escribe,Asiste_Asistio,Titulo_Alcanzado,Indice_pobreza,Condicion_pobreza
9,8,6,2000000,4,2,1,1,,3,0
9,4,2,2200000,4,2,1,1,,3,0
1,2,2,4000000,1,2,1,1,,3,0
7,5,2,3200000,4,2,1,1,,3,0
7,10,2,4000000,1,2,1,1,,3,0
2,25,2,20000000,2,3,1,1,1,3,0
2,11,1,6000000,1,3,1,1,10,3,0
8,0,2,5000000,1,3,1,1,14,3,0
5,0,2,2600000,3,2,1,1,,3,0
2,20,2,20000000,2,3,1,1,1,3,0
2,10,1,8000000,1,3,1,1,1,3,0
3,2,2,3600000,3,3,1,1,1,3,0
2,1,1,6000000,1,3,1,1,10,3,0
3,19,1,3000000,1,2,1,1,14,3,0
8,5,2,2500000,1,2,1,1,,3,0
3,7,1,5000000,1,2,1,1,1,3,0
2,7,1,7000000,1,3,1,1,1,3,0
3,1,2,2500000,1,3,1,1,7,3,0
8,2,2,2600000,1,2,1,1,,3,0
2,2,2,5000000,3,2,1,1,1,3,0
2,4,1,4500000,3,2,1,1,8,3,0
2,6,1,5000000,1,3,1,1,1,3,0
3,5,1,3000000,3,3,1,1,1,3,0
1,20,2,4800000,1,3,1,1,9,3,0
3,2,1,5000000,1,3,1,1,1,3,0
5,0,2,3500000,1,2,1,1,,3,0
5,13,2,4500000,1,2,1,1,,3,0
4,0,2,2500000,1,3,1,1,,3,0
2,18,1,4950000,1,2,1,1,1,3,0
3,15,1,4000000,1,2,1,1,1,3,0
3,14,1,4000000,1,2,1,1,1,3,0
2,0,2,6000000,1,3,1,1,14,3,0
3,0,1,5000000,1,3,1,1,9,3,0
3,0,2,2360000,3,2,1,1,14,3,0
3,8,2,3500000,1,3,1,1,1,3,0
