B01REC,B03LU,B03MA,B03MI,B03JU,B03VI,B03SA,B03DO,B07A,B12,B16T,B26,E01A,E01B,E01C,E01H,ED01,ED02,ED03,ED0504,ED06C,ED08,ED10,e01aimde,e01hde,pobrezai,pobnopoi
"1,00","7,00","7,00","7,00","0,00","0,00","7,00","7,00","15,00","2,00","8.000.000,00","1,00","8.000.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","8.000.000,00","0,00","3,00","0,00"
"2,00","6,00","6,00","6,00","0,00","0,00","6,00","6,00","15,00","1,00","3.000.000,00","1,00","3.000.000,00","4.000.000,00","0,00","0,00","3,00","1,00","1,00","2.404,00","14,00","19,00","2,00","3.000.000,00","0,00","3,00","0,00"
"3,00","8,00","8,00","8,00","0,00","0,00","8,00","8,00","10,00","2,00","1.500.000,00","1,00","1.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.103,00","2,00","19,00","2,00","1.500.000,00","0,00","3,00","0,00"
"4,00","9,00","0,00","0,00","8,00","8,00","10,00","10,00","0,00","2,00","2.460.000,00","1,00","2.460.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","1,00","2.471.594,66","0,00","3,00","0,00"
"4,00","6,00","6,00","6,00","6,00","0,00","6,00","6,00","0,00","2,00","1.921.000,00","3,00","1.921.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.401,00","14,00","19,00","1,00","1.930.054,20","0,00","3,00","0,00"
"1,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1,00","3.100.000,00","1,00","3.100.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","14,00","3.114.611,16","0,00","3,00","0,00"
"3,00","6,00","0,00","0,00","6,00","6,00","6,00","6,00","5,00","1,00","2.930.000,00","3,00","2.930.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.402,00","14,00","19,00","1,00","2.943.809,90","0,00","2,00","1,00"
"4,00","8,00","8,00","8,00","8,00","8,00","0,00","8,00","0,00","2,00","3.500.000,00","3,00","3.500.000,00","0,00","0,00","0,00","3,00","1,00","1,00","1.003,00",,"19,00","2,00","3.516.496,47","0,00","3,00","0,00"
"5,00","8,00","0,00","0,00","8,00","8,00","8,00","8,00","10,00","2,00","2.500.000,00","4,00","3.270.000,00","0,00","0,00","0,00","3,00","1,00","1,00","2.405,00","1,00","19,00","2,00","3.285.412,41","0,00","3,00","0,00"
"5,00","8,00","5,00","5,00","8,00","8,00","8,00","8,00","6,00","2,00","1.800.000,00","4,00","1.800.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.002,00","7,00","19,00","2,00","1.808.483,90","0,00","3,00","0,00"
"3,00","8,00","0,00","5,00","8,00","8,00","8,00","8,00","3,00","2,00","2.700.000,00","1,00","2.700.000,00","0,00","0,00","0,00","2,00","1,00","1,00","2.405,00","1,00","19,00","1,00","2.712.725,84","0,00","3,00","0,00"
